Product ID,Product Name,Category,Product Code,Barcode,Price (NAD),Inventory,Supplier ID
P0036,Maple Syrup,"Sugar, Jam, Honey, Syrups, Chocolate, and Confectionery",P0036,6.41E+12,39.72,133,S002
P0037,Agave Nectar,"Sugar, Jam, Honey, Syrups, Chocolate, and Confectionery",P0037,2.39E+12,17.42,258,S003
P0038,Chocolate Bars,"Sugar, Jam, Honey, Syrups, Chocolate, and Confectionery",P0038,2.22E+12,146.81,282,S004
P0039,Cocoa Powder,"Sugar, Jam, Honey, Syrups, Chocolate, and Confectionery",P0039,3.22E+12,23.62,253,S005
P0040,Caramel,"Sugar, Jam, Honey, Syrups, Chocolate, and Confectionery",P0040,5.66E+12,81.51,320,S001
P0041,"Candies (Hard, Soft)","Sugar, Jam, Honey, Syrups, Chocolate, and Confectionery",P0041,8.02E+12,149.3,342,S002
P0042,Lollipops,"Sugar, Jam, Honey, Syrups, Chocolate, and Confectionery",P0042,8.71E+12,135.44,241,S003
P0043,Gum,"Sugar, Jam, Honey, Syrups, Chocolate, and Confectionery",P0043,5.36E+12,37.58,183,S004
P0044,Toffees,"Sugar, Jam, Honey, Syrups, Chocolate, and Confectionery",P0044,5.05E+12,90.32,13,S005
P0045,Marshmallows,"Sugar, Jam, Honey, Syrups, Chocolate, and Confectionery",P0045,2.04E+12,38.2,473,S001
P0046,Confectionery Chocolates,"Sugar, Jam, Honey, Syrups, Chocolate, and Confectionery",P0046,2.25E+12,79.55,152,S002
P0047,"Fresh Milk (Cow, Goat, Plant-Based Alternatives)","Milk, Cheese, and Eggs",P0047,9.54E+12,36.06,77,S003
P0048,UHT Milk,"Milk, Cheese, and Eggs",P0048,9.32E+12,40.23,252,S004
P0049,"Yogurt (Plain, Flavored)","Milk, Cheese, and Eggs",P0049,8.16E+12,32.61,59,S005
P0050,"Cheese (Cheddar, Mozzarella, Parmesan, Cream Cheese, Blue Cheese)","Milk, Cheese, and Eggs",P0050,8.58E+12,56.37,220,S001
P0051,Butter,"Milk, Cheese, and Eggs",P0051,1.95E+12,102.64,340,S002
P0052,Cream,"Milk, Cheese, and Eggs",P0052,2.07E+12,63.38,183,S003
P0053,Whey Protein,"Milk, Cheese, and Eggs",P0053,5.37E+12,32.78,284,S004
P0054,"Eggs (Chicken, Duck, Quail)","Milk, Cheese, and Eggs",P0054,3.47E+12,66.17,152,S005
P0055,Egg Substitutes,"Milk, Cheese, and Eggs",P0055,5.40E+12,131.8,48,S001
P0056,Custard,"Milk, Cheese, and Eggs",P0056,2.72E+12,12.34,286,S002
P0057,"Leafy Greens (Spinach, Lettuce, Kale)",Vegetables,P0057,1.26E+12,145.5,484,S003
P0058,"Root Vegetables (Carrots, Beets, Turnips)",Vegetables,P0058,3.93E+12,63.93,256,S004
P0059,"Tubers (Potatoes, Sweet Potatoes)",Vegetables,P0059,3.90E+12,59.95,209,S005
P0060,Tomatoes,Vegetables,P0060,6.02E+12,66.34,500,S001
P0061,Onions,Vegetables,P0061,3.73E+12,32.54,121,S002
P0062,Bell Peppers,Vegetables,P0062,2.03E+12,88.98,287,S003
P0063,Cucumbers,Vegetables,P0063,2.01E+12,12.27,254,S004
P0064,Zucchini,Vegetables,P0064,2.00E+12,144.31,51,S005
P0065,Broccoli,Vegetables,P0065,4.27E+12,14.94,44,S001
P0066,Cauliflower,Vegetables,P0066,8.10E+12,22.38,465,S002
P0067,Cabbage,Vegetables,P0067,5.33E+12,88.94,30,S003
P0068,Peas,Vegetables,P0068,2.44E+12,65.79,308,S004
P0069,Green Beans,Vegetables,P0069,4.59E+12,102.11,170,S005
P0070,Eggplant,Vegetables,P0070,5.67E+12,62.39,353,S001
P0071,Mushrooms,Vegetables,P0071,6.28E+12,71.3,485,S002
P0072,Asparagus,Vegetables,P0072,1.16E+12,71.45,298,S003
P0073,Garlic,Vegetables,P0073,2.76E+12,15.62,119,S004
P0074,Beef Biltong,Biltong,P0074,5.67E+12,24.21,188,S005
P0075,Venison Biltong,Biltong,P0075,2.21E+12,132.49,199,S001
P0076,Chicken Biltong,Biltong,P0076,3.78E+12,68.54,288,S002
P0077,Fish Biltong (Dried Fish),Biltong,P0077,6.32E+12,93.69,423,S003
P0078,Pearl Millet,Mahangu (Millet),P0078,2.82E+12,141.14,78,S004
P0079,Finger Millet,Mahangu (Millet),P0079,3.03E+12,134.01,390,S005
P0080,Foxtail Millet,Mahangu (Millet),P0080,3.73E+12,44.49,319,S001
P0081,Proso Millet,Mahangu (Millet),P0081,4.58E+12,104.69,446,S002
P0082,Shrimp,Seafood,P0082,9.89E+12,75.84,473,S003
P0083,Crab,Seafood,P0083,2.62E+12,96.97,434,S004
P0084,Lobster,Seafood,P0084,1.77E+12,5.51,404,S005
P0085,Clams,Seafood,P0085,5.61E+12,28.43,236,S001
P0086,Mussels,Seafood,P0086,2.97E+12,15.91,462,S002
P0087,Squid,Seafood,P0087,3.61E+12,67.32,31,S003
P0088,Octopus,Seafood,P0088,7.41E+12,135.35,417,S004
P0089,Seaweed,Seafood,P0089,4.70E+12,103.9,351,S005
P0090,"Canned Fish (Tuna, Sardines, Mackerel)",Seafood,P0090,7.22E+12,118.12,462,S001
P0091,Smoked Fish,Fish-Based Products,P0091,8.15E+12,146.21,393,S002
P0092,Canned Fish,Fish-Based Products,P0092,5.17E+12,130.37,419,S003
P0093,Fish Fillets,Fish-Based Products,P0093,4.12E+12,132.81,22,S004
P0094,Fish Sausages,Fish-Based Products,P0094,6.85E+12,118.45,220,S005
P0095,Fish Balls,Fish-Based Products,P0095,5.37E+12,43.69,413,S001
P0096,Fish Oil,Fish-Based Products,P0096,2.90E+12,60.47,29,S002
P0097,Fish Paste (Surimi),Fish-Based Products,P0097,9.28E+12,37.25,428,S003
P0098,Fish Snacks,Fish-Based Products,P0098,9.10E+12,55.7,430,S004
